MONTH,TSLA_WEB_SEARCH,TSLA_USD_CLOSE
2010-06-01,9,4.766
2010-07-01,9,3.988
2010-08-01,7,3.896
2010-09-01,7,4.082
2010-10-01,8,4.368
2010-11-01,7,7.066
2010-12-01,7,5.326
2011-01-01,8,4.82
2011-02-01,8,4.778
2011-03-01,8,5.55
2011-04-01,9,5.52
2011-05-01,8,6.028
2011-06-01,8,5.826
2011-07-01,7,5.634
2011-08-01,7,4.948
2011-09-01,8,4.878
2011-10-01,8,5.874
2011-11-01,8,6.548
2011-12-01,8,5.712
2012-01-01,8,5.814
2012-02-01,10,6.682
2012-03-01,8,7.448
2012-04-01,8,6.626
2012-05-01,10,5.9
2012-06-01,10,6.258
2012-07-01,10,5.484
2012-08-01,9,5.704
2012-09-01,10,5.856
2012-10-01,10,5.626
2012-11-01,13,6.764
2012-12-01,10,6.774
2013-01-01,11,7.502
2013-02-01,13,6.966
2013-03-01,13,7.578
2013-04-01,14,10.798
2013-05-01,20,19.552
2013-06-01,17,21.472
2013-07-01,18,26.856001
2013-08-01,23,33.799999
2013-09-01,19,38.674
2013-10-01,20,31.988001
2013-11-01,19,25.455999
2013-12-01,16,30.086
2014-01-01,16,36.282001
2014-02-01,20,48.962002
2014-03-01,23,41.689999
2014-04-01,20,41.577999
2014-05-01,20,41.554001
2014-06-01,20,48.012001
2014-07-01,22,44.66
2014-08-01,20,53.939999
2014-09-01,21,48.535999
2014-10-01,26,48.34
2014-11-01,20,48.903999
2014-12-01,19,44.481998
2015-01-01,23,40.720001
2015-02-01,24,40.667999
2015-03-01,21,37.754002
2015-04-01,24,45.209999
2015-05-01,32,50.16
2015-06-01,24,53.652
2015-07-01,25,53.23
2015-08-01,27,49.812
2015-09-01,29,49.68
2015-10-01,31,41.386002
2015-11-01,25,46.051998
2015-12-01,24,48.001999
2016-01-01,24,38.240002
2016-02-01,27,38.386002
2016-03-01,29,45.953999
2016-04-01,59,48.152
2016-05-01,30,44.646
2016-06-01,28,42.456001
2016-07-01,31,46.958
2016-08-01,27,42.402
2016-09-01,28,40.806
2016-10-01,31,39.546001
2016-11-01,30,37.880001
2016-12-01,28,42.737999
2017-01-01,29,50.386002
2017-02-01,31,49.998001
2017-03-01,30,55.66
2017-04-01,35,62.813999
2017-05-01,34,68.202003
2017-06-01,34,72.321999
2017-07-01,49,64.694
2017-08-01,41,71.18
2017-09-01,35,68.220001
2017-10-01,37,66.306
2017-11-01,53,61.77
2017-12-01,40,62.27
2018-01-01,38,70.862
2018-02-01,49,68.612
2018-03-01,38,53.226002
2018-04-01,39,58.779999
2018-05-01,40,56.945999
2018-06-01,37,68.589996
2018-07-01,38,59.627998
2018-08-01,45,60.332001
2018-09-01,45,52.953999
2018-10-01,44,67.463997
2018-11-01,38,70.096001
2018-12-01,41,66.559998
2019-01-01,41,61.403999
2019-02-01,38,63.976002
2019-03-01,55,55.972
2019-04-01,48,47.737999
2019-05-01,49,37.032001
2019-06-01,50,44.692001
2019-07-01,46,48.321999
2019-08-01,46,45.122002
2019-09-01,48,48.174
2019-10-01,51,62.984001
2019-11-01,100,65.987999
2019-12-01,62,83.666
2020-01-01,63,130.113998
2020-02-01,79,133.598007
2020-03-01,55,104.800003
2020-04-01,43,156.376007
2020-05-01,52,167
2020-06-01,57,215.962006
2020-07-01,78,286.152008
2020-08-01,76,498.320007
2020-09-01,100,429.01001
2020-10-01,68,388.040009
2020-11-01,65,567.599976
2020-12-01,76,705.669983
2021-01-01,99,793.530029
2021-02-01,89,675.5
2021-03-01,82,667.929993
2021-04-01,78,709.440002
2021-05-01,74,625.219971
2021-06-01,66,679.700012
2021-07-01,66,678.900024
