MONTH,UE_BENEFITS_WEB_SEARCH,UNRATE
2006-01,5,4.7
2006-02,4,4.8
2006-03,4,4.7
2006-04,4,4.7
2006-05,5,4.6
2006-06,4,4.6
2006-07,5,4.7
2006-08,5,4.7
2006-09,5,4.5
2006-10,4,4.4
2006-11,5,4.5
2006-12,4,4.4
2007-01,6,4.6
2007-02,5,4.5
2007-03,5,4.4
2007-04,5,4.5
2007-05,5,4.4
2007-06,6,4.6
2007-07,6,4.7
2007-08,5,4.6
2007-09,5,4.7
2007-10,5,4.7
2007-11,5,4.7
2007-12,6,5
2008-01,7,5
2008-02,6,4.9
2008-03,6,5.1
2008-04,7,5
2008-05,6,5.4
2008-06,8,5.6
2008-07,8,5.8
2008-08,8,6.1
2008-09,10,6.1
2008-10,11,6.5
2008-11,14,6.8
2008-12,15,7.3
2009-01,19,7.8
2009-02,19,8.3
2009-03,17,8.7
2009-04,16,9
2009-05,14,9.4
2009-06,16,9.5
2009-07,15,9.5
2009-08,17,9.6
2009-09,17,9.8
2009-10,17,10
2009-11,18,9.9
2009-12,15,9.9
2010-01,16,9.8
2010-02,15,9.8
2010-03,17,9.9
2010-04,14,9.9
2010-05,12,9.6
2010-06,16,9.4
2010-07,18,9.4
2010-08,12,9.5
2010-09,10,9.5
2010-10,10,9.4
2010-11,11,9.8
2010-12,14,9.3
2011-01,13,9.1
2011-02,11,9
2011-03,10,9
2011-04,10,9.1
2011-05,10,9
2011-06,10,9.1
2011-07,11,9
2011-08,11,9
2011-09,10,9
2011-10,10,8.8
2011-11,9,8.6
2011-12,10,8.5
2012-01,11,8.3
2012-02,9,8.3
2012-03,8,8.2
2012-04,8,8.2
2012-05,8,8.2
2012-06,9,8.2
2012-07,10,8.2
2012-08,8,8.1
2012-09,8,7.8
2012-10,9,7.8
2012-11,10,7.7
2012-12,11,7.9
2013-01,11,8
2013-02,8,7.7
2013-03,7,7.5
2013-04,8,7.6
2013-05,7,7.5
2013-06,8,7.5
2013-07,8,7.3
2013-08,7,7.2
2013-09,7,7.2
2013-10,8,7.2
2013-11,7,6.9
2013-12,9,6.7
2014-01,15,6.6
2014-02,11,6.7
2014-03,10,6.7
2014-04,9,6.2
2014-05,7,6.3
2014-06,7,6.1
2014-07,6,6.2
2014-08,5,6.1
2014-09,5,5.9
2014-10,5,5.7
2014-11,5,5.8
2014-12,5,5.6
2015-01,6,5.7
2015-02,5,5.5
2015-03,5,5.4
2015-04,4,5.4
2015-05,4,5.6
2015-06,5,5.3
2015-07,5,5.2
2015-08,5,5.1
2015-09,5,5
2015-10,5,5
2015-11,5,5.1
2015-12,5,5
2016-01,6,4.8
2016-02,6,4.9
2016-03,5,5
2016-04,5,5.1
2016-05,5,4.8
2016-06,5,4.9
2016-07,5,4.8
2016-08,5,4.9
2016-09,4,5
2016-10,5,4.9
2016-11,5,4.7
2016-12,5,4.7
2017-01,7,4.7
2017-02,5,4.6
2017-03,5,4.4
2017-04,5,4.5
2017-05,4,4.4
2017-06,5,4.3
2017-07,6,4.3
2017-08,5,4.4
2017-09,5,4.2
2017-10,5,4.1
2017-11,4,4.2
2017-12,5,4.1
2018-01,6,4
2018-02,5,4.1
2018-03,4,4
2018-04,4,4
2018-05,4,3.8
2018-06,4,4
2018-07,4,3.8
2018-08,4,3.8
2018-09,4,3.7
2018-10,4,3.8
2018-11,4,3.8
2018-12,4,3.9
2019-01,6,4
2019-02,5,3.8
2019-03,4,3.8
2019-04,4,3.7
2019-05,4,3.7
2019-06,4,3.6
2019-07,5,3.6
2019-08,4,3.7
2019-09,4,3.5
2019-10,4,3.6
2019-11,4,3.6
2019-12,5,3.6
2020-01,5,3.5
2020-02,5,3.5
2020-03,38,4.4
2020-04,100,14.8
2020-05,70,13.3
2020-06,60,11.1
2020-07,58,10.2
2020-08,53,8.4
2020-09,43,7.8
2020-10,34,6.9
2020-11,29,6.7
2020-12,37,6.7
2021-01,46,6.3
2021-02,37,6.2
2021-03,38,6
2021-04,34,6.1
2021-05,31,5.8
2021-06,28,5.9
2021-07,24,
